quantity,holiday,time_elapsed,ongoing_orders,waze_avg_time,waze_avg_distance,datetime,reseller
1,False,18.459633333333333,1,8.583333333333334,3.136,2022-09-01 10:50:00,B
1,False,31.472516666666667,0,11.183333333333334,5.397,2022-09-01 13:21:00,A
1,False,29.34333333333333,0,8.4,3.123,2022-09-01 17:51:00,A
1,False,46.10380000000001,0,12.733333333333333,4.536,2022-09-01 18:35:00,B
1,False,20.95045,0,8.866666666666667,3.524,2022-09-02 10:13:00,D
1,False,29.24465,0,12.866666666666667,5.593,2022-09-02 16:44:00,A
1,False,29.843966666666667,1,8.9,4.196,2022-09-02 19:49:00,B
1,False,28.738866666666667,0,7.333333333333333,2.989,2022-09-03 08:27:00,A
1,False,17.692533333333333,0,6.466666666666667,3.282,2022-09-03 09:12:00,A
1,False,23.69265,0,11.416666666666666,3.917,2022-09-03 11:54:00,A
1,False,21.54053333333333,0,7.116666666666666,3.531,2022-09-03 12:02:00,B
1,False,32.382466666666666,0,10.7,3.66,2022-09-03 13:24:00,B
1,False,41.52341666666667,0,14.116666666666667,4.071,2022-09-03 15:36:00,A
1,False,30.6407,1,12.016666666666667,6.241,2022-09-03 18:10:00,A
1,False,15.536733333333332,0,6.65,2.101,2022-09-05 10:36:00,B
1,False,42.3656,0,11.5,5.338,2022-09-05 20:20:00,B
1,False,17.402466666666665,1,7.483333333333333,3.652,2022-09-05 20:34:00,B
1,True,28.0775,0,11.533333333333331,4.312,2022-09-06 10:50:00,A
1,True,34.49808333333334,1,12.966666666666669,4.677,2022-09-06 14:35:00,B
1,True,25.441866666666662,2,7.833333333333333,3.401,2022-09-06 14:47:00,B
2,True,28.079616666666663,0,11.583333333333334,4.089,2022-09-06 18:11:00,B
1,True,26.89123333333333,0,9.983333333333333,3.63,2022-09-06 18:57:00,B
1,True,19.794866666666667,0,8.4,3.672,2022-09-06 19:43:00,B
1,True,41.62768333333334,1,17.033333333333335,7.867,2022-09-06 19:50:00,B
1,False,28.79205,0,12.4,5.678,2022-09-07 09:21:00,A
1,False,37.145516666666666,1,17.183333333333334,7.33,2022-09-08 13:29:00,B
2,False,24.25518333333333,0,9.9,4.243,2022-09-09 09:07:00,D
1,False,35.43475,1,9.033333333333331,4.1,2022-09-09 18:56:00,B
1,False,20.376766666666665,0,8.083333333333334,3.835,2022-09-10 16:17:00,B
1,False,25.83855,0,9.666666666666666,3.065,2022-09-10 17:38:00,A
1,False,41.438316666666665,0,19.716666666666665,12.77,2022-09-11 13:22:00,B
1,False,42.106316666666665,0,11.316666666666666,3.939,2022-09-12 12:48:00,B
1,False,14.259666666666668,0,6.816666666666666,2.567,2022-09-12 13:12:00,A
1,False,38.87228333333333,0,17.083333333333332,7.796,2022-09-13 12:48:00,B
1,False,38.53501666666666,1,10.4,3.372,2022-09-14 09:34:00,A
1,False,39.08511666666666,0,18.35,8.967,2022-09-14 10:00:00,B
1,False,50.61378333333334,0,21.766666666666666,11.004,2022-09-14 12:29:00,B
1,False,33.996849999999995,0,8.616666666666667,4.292,2022-09-14 18:56:00,A
1,False,33.796150000000004,0,9.9,4.756,2022-09-15 10:38:00,A
1,False,85.17303333333332,0,41.65,20.736,2022-09-15 14:50:00,B
1,False,21.534166666666668,0,9.716666666666669,3.699,2022-09-15 16:35:00,A
1,False,26.89816666666667,0,10.183333333333334,4.229,2022-09-15 20:03:00,B
1,False,34.781866666666666,0,11.116666666666667,5.72,2022-09-16 15:10:00,A
1,False,21.684416666666667,0,9.9,4.622,2022-09-16 17:14:00,A
1,False,25.312866666666665,0,9.0,3.433,2022-09-16 18:36:00,A
1,False,19.40373333333333,0,6.55,2.69,2022-09-16 19:01:00,B
1,False,41.05973333333333,0,19.03333333333333,10.086,2022-09-17 13:56:00,B
1,False,53.99325,0,14.883333333333333,5.604,2022-09-17 19:41:00,B
1,False,16.27776666666667,0,5.066666666666666,2.481,2022-09-18 09:38:00,A
1,True,28.702483333333333,2,10.916666666666666,3.845,2022-09-19 10:47:00,B
1,False,17.410516666666666,0,7.833333333333333,3.097,2022-09-19 14:58:00,D
1,True,17.901966666666667,1,8.783333333333333,3.657,2022-09-19 16:49:00,B
1,True,73.65218333333334,0,21.8,10.737,2022-09-19 17:54:00,B
1,True,23.89626666666667,1,6.8,3.543,2022-09-19 18:31:00,B
1,False,51.101733333333335,0,14.383333333333333,4.369,2022-09-20 17:02:00,A
1,False,42.78871666666666,0,13.933333333333334,5.338,2022-09-21 10:58:00,A
1,False,30.69538333333333,0,8.516666666666667,3.601,2022-09-21 17:55:00,A
1,False,24.1149,0,11.833333333333334,3.658,2022-09-22 09:29:00,A
1,False,37.80305,0,13.316666666666666,5.623,2022-09-22 11:18:00,A
1,False,28.83875,0,10.283333333333331,4.88,2022-09-22 14:42:00,A
1,False,32.95891666666667,0,9.45,4.288,2022-09-23 16:04:00,B
1,False,30.30163333333333,1,10.183333333333334,5.444,2022-09-23 16:21:00,A
1,False,42.3696,0,10.983333333333333,4.167,2022-09-23 17:15:00,A
1,False,19.57878333333333,0,8.016666666666667,3.716,2022-09-24 19:45:00,B
1,False,40.69325,0,17.666666666666668,7.106,2022-09-25 20:23:00,B
1,False,17.0348,0,5.75,2.516,2022-09-26 09:55:00,A
1,False,24.08543333333333,0,9.816666666666666,4.313,2022-09-27 08:01:00,B
1,False,29.59958333333333,0,9.333333333333334,3.036,2022-09-27 12:14:00,A
1,False,40.98283333333333,1,12.3,4.833,2022-09-27 16:35:00,A
1,False,22.159516666666665,0,8.316666666666666,3.429,2022-09-28 08:54:00,D
1,False,47.3768,0,19.4,7.292,2022-09-28 19:31:00,B
1,False,22.373116666666665,0,9.983333333333333,4.483,2022-09-29 11:47:00,A
1,False,26.37398333333333,0,9.883333333333333,3.362,2022-09-30 12:56:00,D
1,False,23.879183333333334,0,9.033333333333331,3.921,2022-09-30 16:01:00,A
1,False,32.75365,0,9.2,4.058,2022-09-30 17:45:00,A
1,False,34.77995,0,11.65,5.215,2022-09-30 18:49:00,A
1,False,27.775516666666665,0,13.633333333333333,5.61,2022-10-01 16:50:00,A
1,False,56.64715,3,14.416666666666666,4.482,2022-10-01 17:16:00,A
1,False,21.793166666666664,0,8.766666666666667,3.593,2022-10-02 11:33:00,B
1,False,39.80136666666666,0,11.333333333333334,5.478,2022-10-04 08:01:00,A
1,False,28.00215,0,8.883333333333333,3.524,2022-10-04 08:58:00,D
1,False,43.81596666666667,0,11.533333333333331,3.805,2022-10-04 18:02:00,A
1,False,35.90645000000001,0,10.1,4.384,2022-10-04 19:23:00,B
1,False,32.199216666666665,0,12.933333333333334,6.524,2022-10-04 22:11:00,C
1,False,14.876783333333332,1,5.433333333333334,2.559,2022-10-05 08:43:00,A
1,False,29.03063333333333,0,7.45,3.218,2022-10-05 10:07:00,A
1,False,38.049483333333335,2,11.8,3.944,2022-10-05 10:22:00,A
1,False,23.01245,2,9.266666666666667,4.666,2022-10-05 10:29:00,A
1,False,22.993116666666666,0,7.233333333333333,2.802,2022-10-05 11:52:00,D
2,False,17.08785,0,7.25,4.239,2022-10-05 12:40:00,C
1,False,26.572166666666664,1,11.733333333333333,5.924,2022-10-05 13:56:00,C
1,False,30.163049999999995,0,9.716666666666669,3.972,2022-10-05 17:45:00,B
1,False,15.556666666666668,0,4.366666666666666,1.838,2022-10-05 18:03:00,C
1,False,14.5312,0,6.133333333333334,3.033,2022-10-05 18:27:00,C
1,False,46.30106666666666,1,14.466666666666669,9.675,2022-10-05 18:43:00,C
1,False,25.4979,0,7.75,4.364,2022-10-06 09:03:00,C
1,False,23.19935,0,11.35,4.273,2022-10-06 09:12:00,A
1,False,14.568416666666668,1,5.8,1.904,2022-10-06 09:36:00,A
1,False,37.29153333333333,1,11.366666666666667,3.938,2022-10-06 10:38:00,B
1,False,33.27648333333334,2,9.4,3.487,2022-10-06 10:41:00,A
1,False,38.87675,1,12.35,6.246,2022-10-06 10:43:00,C
1,False,16.0392,4,4.816666666666666,2.105,2022-10-06 10:54:00,A
1,False,12.925616666666668,1,3.466666666666667,2.397,2022-10-06 11:05:00,C
1,False,30.521833333333333,3,11.95,3.7,2022-10-06 11:25:00,A
2,False,40.07878333333333,1,10.733333333333333,5.259,2022-10-06 12:07:00,A
1,False,28.59401666666667,0,11.483333333333333,5.231,2022-10-06 12:37:00,B
1,False,34.66798333333334,1,15.366666666666667,9.087,2022-10-06 12:40:00,C
1,False,45.21165,0,21.133333333333333,8.212,2022-10-06 13:23:00,B
1,False,42.688766666666666,0,11.8,4.568,2022-10-06 14:16:00,A
1,False,33.15263333333333,1,9.066666666666666,3.262,2022-10-06 17:10:00,A
1,False,12.851666666666668,0,4.216666666666667,1.735,2022-10-06 18:42:00,A
1,False,33.45786666666667,1,11.483333333333333,4.963,2022-10-06 18:54:00,A
1,False,29.813816666666668,1,12.0,5.7,2022-10-06 19:14:00,C
1,False,25.070833333333333,1,10.766666666666667,4.352,2022-10-06 19:38:00,D
1,False,17.9953,0,8.183333333333334,4.172,2022-10-06 20:01:00,C
1,False,45.00423333333333,0,15.783333333333331,9.911,2022-10-06 20:28:00,C
1,False,29.58655,0,13.833333333333334,6.325,2022-10-06 20:51:00,B
1,False,23.198183333333333,0,8.4,3.169,2022-10-07 08:20:00,B
1,False,28.225966666666665,0,13.416666666666666,6.177,2022-10-07 08:25:00,A
1,False,26.04748333333333,0,10.833333333333334,5.248,2022-10-07 08:55:00,A
1,False,14.92475,2,7.033333333333333,3.074,2022-10-07 09:49:00,C
1,False,34.161433333333335,1,10.166666666666666,4.749,2022-10-07 09:56:00,A
1,False,23.88705,3,10.283333333333331,4.251,2022-10-07 12:23:00,A
1,False,22.047066666666662,3,8.033333333333333,2.889,2022-10-07 12:50:00,C
1,False,14.497166666666669,2,6.75,3.004,2022-10-07 12:50:00,C
2,False,34.102466666666665,0,8.8,3.299,2022-10-07 13:07:00,D
1,False,41.5026,4,10.966666666666669,3.855,2022-10-07 14:18:00,A
2,False,17.724099999999996,0,7.6,4.756,2022-10-07 14:19:00,C
1,False,31.5124,3,8.033333333333333,4.02,2022-10-07 15:40:00,A
1,False,46.36966666666667,0,12.033333333333331,6.42,2022-10-07 16:25:00,C
1,False,55.50441666666666,1,15.416666666666666,9.603,2022-10-07 16:52:00,C
1,False,37.99133333333334,2,16.333333333333332,9.251,2022-10-07 18:07:00,C
1,False,18.41413333333333,0,8.133333333333333,3.49,2022-10-07 19:23:00,B
1,False,29.94558333333333,1,13.616666666666667,6.094,2022-10-07 20:23:00,B
1,False,31.01705,1,12.183333333333334,5.717,2022-10-08 08:40:00,B
1,False,59.09505,2,15.983333333333333,6.91,2022-10-08 09:38:00,B
1,False,42.04465,0,13.283333333333331,4.851,2022-10-08 09:38:00,A
1,False,31.607216666666663,1,13.566666666666666,6.023,2022-10-08 09:52:00,A
1,False,21.084566666666667,0,5.75,2.359,2022-10-08 10:18:00,D
1,False,21.94086666666667,1,7.433333333333334,4.401,2022-10-08 10:23:00,C
1,False,23.57078333333333,1,6.816666666666666,2.776,2022-10-08 11:16:00,C
1,False,17.779033333333334,1,5.216666666666667,2.129,2022-10-08 11:19:00,A
1,False,28.5513,2,9.466666666666669,3.445,2022-10-08 11:31:00,A
1,False,35.7257,2,17.733333333333334,6.715,2022-10-08 12:00:00,B
1,False,24.127616666666665,1,6.75,2.435,2022-10-08 12:12:00,A
1,False,28.6864,0,9.7,2.75,2022-10-08 13:04:00,A
1,False,68.53133333333334,3,19.266666666666666,12.596,2022-10-08 13:27:00,C
1,False,43.22266666666667,0,11.25,4.667,2022-10-08 13:51:00,B
1,False,44.21811666666667,2,15.7,6.14,2022-10-08 14:04:00,B
1,False,37.45958333333333,0,13.95,4.202,2022-10-08 14:15:00,A
1,False,23.444233333333333,1,11.166666666666666,3.936,2022-10-08 15:28:00,B
1,False,41.53091666666667,1,11.216666666666669,4.096,2022-10-08 16:34:00,A
1,False,26.6527,1,11.65,4.231,2022-10-08 17:44:00,B
1,False,40.34838333333333,0,10.916666666666666,3.883,2022-10-08 17:47:00,A
1,False,25.54928333333333,1,8.0,2.608,2022-10-08 18:08:00,A
1,False,33.20578333333333,2,10.35,5.13,2022-10-08 19:02:00,B
1,False,37.8881,0,10.65,5.806,2022-10-08 19:58:00,C
1,False,33.48578333333334,1,12.266666666666667,4.749,2022-10-09 08:34:00,A
1,False,48.83361666666666,2,14.9,5.436,2022-10-09 08:35:00,A
1,False,20.62398333333333,0,9.366666666666667,3.354,2022-10-09 08:39:00,D
1,False,18.81488333333333,1,8.0,3.002,2022-10-09 09:25:00,A
1,False,17.116733333333332,3,6.816666666666666,2.506,2022-10-09 09:34:00,A
1,False,37.6834,3,10.933333333333334,5.265,2022-10-09 09:44:00,B
1,False,52.97981666666667,3,14.466666666666669,5.855,2022-10-09 09:57:00,A
1,False,50.09605,2,18.916666666666668,8.409,2022-10-09 10:05:00,B
1,False,29.7758,3,12.566666666666666,4.32,2022-10-09 10:20:00,B
1,False,42.6497,3,11.166666666666666,4.679,2022-10-09 10:55:00,A
1,False,26.055166666666665,3,8.916666666666666,3.228,2022-10-09 11:06:00,A
1,False,29.249516666666665,1,7.566666666666666,2.745,2022-10-09 11:21:00,D
1,False,27.398566666666667,0,12.3,4.595,2022-10-09 11:53:00,B
1,False,21.336866666666666,0,6.816666666666666,2.94,2022-10-09 11:57:00,D
